Latitude;longitude;Place;CA;;;;;;;
36,847087;-2,463554;Almería;Andalucía;;;;;;;
36,540937;-6,286268;Cádiz;Andalucía;;;;;;;
37,896895;-4,761912;Córdoba;Andalucía;;;;;;;
37,162686;-3,566467;Granada;Andalucía;;;;;;;
37,277826;-6,948235;Huelva;Andalucía;;;;;;;
37,792812;-3,783769;Jaén;Andalucía;;;;;;;
36,751037;-4,425897;Málaga;Andalucía;;;;;;;
37,424239;-5,978296;Sevilla;Andalucía;;;;;;;
42,155120;-0,400626;Huesca;Aragón;;;;;;;
40,363629;-1,100110;Teruel;Aragón;;;;;;;
41,677619;-0,887220;Zaragoza;Aragón;;;;;;;
43,518002;-3,805671;Santander;Cantabria;;;;;;;
39,015450;-1,852740;Albacete;Castilla - La mancha ;;;;;;;
38,996923;-3,927869;Ciudad Real;Castilla - La mancha ;;;;;;;
40,089658;-2,131650;Cuenca;Castilla - La mancha ;;;;;;;
40,654921;-3,170318;Guadalajara;Castilla - La mancha ;;;;;;;
39,888572;-4,044917;Toledo;Castilla - La mancha ;;;;;;;
40,799838;-4,652570;Ávila;Castilla y León;;;;;;;
42,375367;-3,699588;Burgos;Castilla y León;;;;;;;
42,656376;-5,536285;León;Castilla y León;;;;;;;
42,028191;-4,534168;Palencia;Castilla y León;;;;;;;
41,276039;-5,649664;Salamanca;Castilla y León;;;;;;;
41,014663;-4,104719;Segovia;Castilla y León;;;;;;;
41,781667;-2,473947;Soria;Castilla y León;;;;;;;
41,715266;-4,717847;Valladolid ;Castilla y León;;;;;;;
41,512497;-5,732128;Zamora;Castilla y León;;;;;;;
41,512353;2,123499;Barcelona;Cataluña;;;;;;;
41,999943;2,819979;Gerona;Cataluña;;;;;;;
41,627505;0,619040;Lérida;Cataluña;;;;;;;
41,137146;1,247384;Tarragona;Cataluña;;;;;;;
40,762613;-3,712933;Madrid;Comunidad de Madrid;;;;;;;
38,386424;-0,489388;Alicante;Comunidad Valenciana;;;;;;;
40,021146;-0,054058;Castellón de la plana;Comunidad Valenciana;;;;;;;
39,567476;-0,399472;Valencia;Comunidad Valenciana;;;;;;;
38,880462;-6,951666;Badajoz;Extremadura;;;;;;;
39,844524;-6,298842;Cáceres;Extremadura;;;;;;;
43,387987;-8,398667;La Coruña;Galicia;;;;;;;
43,040494;-7,571584;Lugo;Galicia;;;;;;;
42,379571;-7,880787;Orense;Galicia;;;;;;;
42,569591;-8,717696;Pontevedra;Galicia;;;;;;;
40,534573;2,637248;Palma;Islas Baleares;;;;;;;
28,566015;-16,255521;Santa Cruz de Tenerife;Islas Canarias;;;;;;;
28,154354;-15,445843;Las Palmas de Gran Canaria;Islas Canarias;;;;;;;
42,484160;-2,439731;Logroño;La Rioja;;;;;;;
42,812633;-1,659783;Pamplona ;Navarra;;;;;;;
42,966927;-2,717445;Vitoria ;País Vasco;;;;;;;
43,451585;-2,009914;San Sebastián;País Vasco;;;;;;;
43,327204;-2,942738;Bilbao;País Vasco;;;;;;;
43,377182;-5,854857;Oviedo;Principado de Asturias;;;;;;;
37,995545;-1,129579;Murcia;Región de Murcia;;;;;;;
35,985640;-5,302665;Ceuta ;Ceuta ;;;;;;;
35,302963;-2,144372;Melilla;Melilla;;;;;;;
