Latitude;longitude;Departamentos de Salud;Provincia
40,469289;0,454107;Vinarós;
40,003360;-0,041014;Castellón;
39,928086;-0,096350;La Plana;
39,876120;-0,216615;Sagunt;
39,475784;-0,325070;Valencia Clinic - La Malva - Rosa;
39,492705;-0,403923;Valencia Arnau de Vilanoca Lliria;
39,444502;-0,375407;Valencia La Fe;
39,526937;-1,090514;Requena;
39,469111;-0,407949;Valencia - Hospital General;
39,454010;-0,394040;Valencia - Dr. Peset;
39,191512;-0,408428;La Ribera;
38,987890;-0,161917;Gandía;
38,830540;0,096892;Denia;
39,007537;-0,510802;Xativa - Ontinyent;
38,706510;-0,466269;Alcoy;
38,531442;-0,197773;Marina Baixa;
38,389031;-0,434129;S. Joan d´Alacant;
38,495963;-0,805344;Elda;
38,371802;-0,488270;Alacant - H. General;
38,261796;-0,685199;Elx - Hospital General;
38,084101;-0,943072;Orihuela;
37,971705;-0,716125;Torrevieja;
39,486583;-0,452845;Manises;
38,257384;-0,714649;Elx - Crevillent;
38,831684;0,094801;La Pedrera;
39,841106;-0,438515;Doctor Moliner;
